Name,Date,City ,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Wind Spd. (knots),Air Temp (oF),SST (oF),Bottom Temp (oF),Cloud Cover,Baseline Indicator,Baseline Indicator,Baseline Indicator,Bleaching?,Severity,% bleached,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,Disease?,Disease Branching/Pillar,Disease Brain,Disease Encrusting/Mound/Boulder,Disease Flowering/Cup,Disease Leaf/Plate/Sheet,Disease Fleshy,Notes,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/1/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.53330,-81.47009,30,Site AA Outplant,Not Provided,10-15 kts,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/8/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.52252,-81.51978,30,Site Q Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/8/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.52649,-81.50127,30,Site Z Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/9/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.47722,-81.73138,30,Site X Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/9/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.47404,-81.74234,30,Marker 32 ,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/9/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45913,-81.84583,30,Eastern Dry Rocks SPA,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Not Provided,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/9/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45175,-81.87891,30,Sand Key SPA,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),"Stony Coral Tissue Loss (SCTLD), Other",Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/10/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45494,-81.85585,30,Rock Key SPA,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),"Stony Coral Tissue Loss (SCTLD), Other",Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/12/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.52015,-81.71841,30,FRRP 1119,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),"Stony Coral Tissue Loss (SCTLD), Other",Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,6/12/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.47139,-81.76461,30,Nine Foot Stake ,Not Provided,5-10 kts,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Provided,Stony Coral Tissue Loss (SCTLD),"Stony Coral Tissue Loss (SCTLD), Other",Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
